zipcodeid,zipcode,moyenneloyer
75101,75001,606
75102,75002,621
75103,75003,555
75104,75004,502
75105,75005,394
75106,75006,596
75107,75007,621
75108,75008,630
75109,75009,610
75110,75010,504
75111,75011,436
75112,75012,418
75113,75013,328
75114,75014,396
75115,75015,378
75116,75016,413
75117,75017,490
75118,75018,306
75119,75019,353
75120,75020,420
