zipcodeid,zipcode,totaldispo,diffactualprevioust
75101,75001,51,-29
75102,75002,197,-10
75103,75003,60,1
75104,75004,35,-13
75105,75005,7,-5
75106,75006,18,8
75107,75007,43,-15
75108,75008,444,-103
75109,75009,243,-83
75110,75010,163,-17
75111,75011,76,-48
75112,75012,61,18
75113,75013,60,-4
75114,75014,87,-16
75115,75015,271,19
75116,75016,13,-13
75117,75017,175,-14
75118,75018,73,9
75119,75019,26,4
75120,75020,34,-2
