zipcodeid,zipcode,nbtransac
75101,75001,31
75102,75002,32
75103,75003,11
75104,75004,4
75105,75005,3
75106,75006,16
75107,75007,8
75108,75008,102
75109,75009,84
75110,75010,17
75111,75011,18
75112,75012,3
75113,75013,25
75114,75014,19
75115,75015,12
75116,75016,8
75117,75017,22
75118,75018,7
75119,75019,5
75120,75020,6
