zipcodeid,zipcode,nbtransac
75101,75001,9
75102,75002,7
75103,75003,2
75106,75006,7
75107,75007,1
75108,75008,20
75109,75009,12
75111,75011,8
75113,75013,2
75114,75014,3
75115,75015,2
75117,75017,2
75118,75018,2
75120,75020,4
