zipcodeid,zipcode,nboffer
75101,75001,22
75102,75002,90
75103,75003,25
75104,75004,4
75105,75005,1
75106,75006,14
75107,75007,8
75108,75008,127
75109,75009,55
75110,75010,56
75111,75011,16
75112,75012,23
75113,75013,10
75114,75014,17
75115,75015,41
75116,75016,10
75117,75017,43
75118,75018,5
75119,75019,11
75120,75020,5
