zipcodeid,zipcode,moyennetransaction
75101,75001,516.3524869407222
75102,75002,515.5346869712351
75103,75003,450
75106,75006,509.31589023611997
75107,75007,580
75108,75008,661.1852226720648
75109,75009,570.2159146045609
75111,75011,508.9838337182448
75113,75013,219
75114,75014,280
75115,75015,406.5606936416185
75117,75017,485.2707581227437
75118,75018,310.7352941176471
75120,75020,280
