zipcode,moyennetransaction,nbtransac
75001,516.3524869407222,9
75002,641.0304962770316,9
75003,450,2
75004,480,1
75006,509.31589023611997,7
75007,580,1
75008,658.2345309381237,21
75009,570.2159146045609,12
75011,508.9838337182448,8
75013,219,2
75014,280,3
75015,406.5606936416185,2
75017,485.2707581227437,2
75018,310.7352941176471,2
75020,280,4
