zipcode,moyenneloyer,nboffer
75001,606.5892057312474,93
75002,688.6784184919892,223
75003,583.2716529311149,80
75004,680.704063916935,23
75005,589.434131736527,4
75006,586.635510665399,26
75007,664.9976240172546,50
75008,680.8138924735298,450
75009,639.5473203061235,242
75010,512.7397383309733,166
75011,544.0263619973026,98
75012,521.0899131364813,61
75013,470.1549851924975,31
75014,420.3139742663547,53
75015,380.4651472827525,100
75016,489.5017359838176,37
75017,562.8605294314922,166
75018,321.8115055079559,14
75019,424.5916962150573,32
75020,361.0441068350066,15
