zipcode,moyennetransaction,nbtransac
75001,610.8692196260764,31
75002,640.366443539453,32
75003,502.69396315485625,11
75004,619.016393442623,4
75005,442.63157894736844,3
75006,528.5221556886228,16
75007,801.1174785100286,8
75008,722.5960826489395,105
75009,637.6908308671757,85
75010,487.49478814132937,17
75011,460.5191036002939,18
75012,330.0251677852349,3
75013,599.758593779033,25
75014,544.9795882456449,19
75015,448.5294117647059,12
75016,654.9203821656051,8
75017,513.6595880568418,22
75018,320.34827499370436,7
75019,469.6825396825397,5
75020,291.3168449197861,6
